Fecha,TipoDeCambio
03/12/2020,19.9083
04/12/2020,19.7838
07/12/2020,19.8213
08/12/2020,19.7537
09/12/2020,19.8368
10/12/2020,19.9572
11/12/2020,20.1075
14/12/2020,20.1778
15/12/2020,20.1113
16/12/2020,19.9513
17/12/2020,19.8173
18/12/2020,19.9487
21/12/2020,20.0905
22/12/2020,20.0562
23/12/2020,20.1175
24/12/2020,19.8517
28/12/2020,20.0477
29/12/2020,19.9487
30/12/2020,19.9352
31/12/2020,19.9087
04/01/2021,19.8457
05/01/2021,19.9437
06/01/2021,19.7250
07/01/2021,19.9100
08/01/2021,19.9705
11/01/2021,20.1130
12/01/2021,19.9373
13/01/2021,19.7935
14/01/2021,19.7793
15/01/2021,19.7875
18/01/2021,19.7570
19/01/2021,19.6788
20/01/2021,19.5793
21/01/2021,19.7393
22/01/2021,19.9833
25/01/2021,20.1598
26/01/2021,20.0152
27/01/2021,20.2168
28/01/2021,20.2697
29/01/2021,20.2248
02/02/2021,20.1722
03/02/2021,20.1953
04/02/2021,20.4435
05/02/2021,20.1388
08/02/2021,20.1227
09/02/2021,20.0913
10/02/2021,20.0588
11/02/2021,19.9535
12/02/2021,19.9622
15/02/2021,19.9518
16/02/2021,20.2023
17/02/2021,20.2257
18/02/2021,20.4165
19/02/2021,20.4222
22/02/2021,20.6783
23/02/2021,20.5833
24/02/2021,20.4752
25/02/2021,20.8523
26/02/2021,20.9390
01/03/2021,20.6123
02/03/2021,20.6903
03/03/2021,20.8957
04/03/2021,20.8498
05/03/2021,21.2635
08/03/2021,21.4177
09/03/2021,21.2575
10/03/2021,20.9853
11/03/2021,20.7133
12/03/2021,20.7637
16/03/2021,20.5753
17/03/2021,20.6828
18/03/2021,20.4415
19/03/2021,20.4823
22/03/2021,20.5788
23/03/2021,20.6408
24/03/2021,20.7882
25/03/2021,20.7662
26/03/2021,20.5677
29/03/2021,20.6047
30/03/2021,20.6025
31/03/2021,20.4400
