Fecha,Institucion,ICAP,Capital Neto reg. vig. dic 2012,Capital Neto Vigente,Operaciones Sujetas a Riesgo,RC Total,RC x riesgo de Credito,RC x riesgo de Mercado,RC x riesgo Operacional,RC x riesgo de Filiales del Exterior
31/12/20,CIBANCO,14.78,2994.44,2995.13,20258.71,1620.7,63.47,4.51,32.02,0
31/12/20,COMERCIOSA,24.97,18.23,17.42,69.78,5.58,7.34,0.06,92.6,0
31/12/20,COMPARTAMOS,31.44,10019.32,9298.35,29576.52,2366.12,81.47,12.05,6.48,0
31/12/20,CONSUBANCO,17.08,2582.76,2595.2,15194.22,1215.54,71.58,8.65,19.78,0
31/12/20,CONSUPAGO,114.29,173.16,173.16,151.51,12.12,99.89,0.12,0,0
31/12/20,CREDIT SUISSE,21.94,3847.56,3462.6,15778.72,1262.3,58.23,39.95,1.82,0
31/12/20,CREDITO FAMLIAR SCOT,17.67,719.59,544.06,3078.58,246.29,85.87,7.96,6.17,0
31/12/20,DEUTSCHE BANK,199.06,1466.94,1466.94,736.94,58.96,21.82,5.07,73.11,0
31/12/20,F AFIRME,23.03,128.87,76.13,330.63,26.45,98.72,1.28,0,0
31/12/20,FC FINANCIAL,18.36,5077.74,4551.84,24796.63,1983.73,79.11,8.59,12.3,0
31/12/20,FINANMADRID,11.78,186.83,169.53,1439.47,115.16,73.21,14.92,11.88,0
31/12/20,FINTERRA,19.18,435.48,353.69,1843.76,147.5,79.25,5.07,15.68,0
31/12/20,FORJADORES,52.12,289.76,355.57,682.29,54.58,90.74,2.18,7.08,0
31/12/20,FUNDACIÓN DONDÉ,120.73,355.23,355.23,294.24,23.54,45.59,1.2,53.21,0
31/12/20,GRAMEEN CARSO,13.78,73.82,56.38,409.04,32.72,72.72,7.8,19.48,0
31/12/20,HSBC,14.08,51964.72,67055.56,476163.78,38093.1,81.34,11.73,6.93,0
31/12/20,ICBC,22.95,647.99,959.23,4180.19,334.42,88.52,1.7,9.78,0
31/12/20,INBURSA,18.66,74545.43,70124.8,375824.26,30065.94,64.29,28.92,6.79,0
31/12/20,INMOBILIARIO MEXICANO,13.19,1071.12,1102.91,8363.34,669.07,85.47,5.14,9.39,0
31/12/20,INTERCAM,15.02,2812.29,2678.63,17835.76,1426.86,63.33,2.51,34.15,0
31/12/20,INTERCAM INC,96.51,56.58,56.58,58.63,4.69,85.15,2.2,12.65,0
31/12/20,INVEX,17.01,5425.93,5274.13,31006.18,2480.49,66.77,15.04,18.18,0
31/12/20,INVEX CONSUMO,20.43,1091.22,940.34,4602.93,368.23,62.62,0.11,37.27,0
31/12/20,JP MORGAN,28.21,19745.05,19463.71,69002.26,5520.18,61.78,31.9,6.32,0
31/12/20,METROFINANCIERA,16.32,1678.17,1570.39,9622.24,769.78,77.66,14.22,8.13,0
31/12/20,MIFEL,14.43,8684.53,7594.81,52647.93,4211.83,81.32,11.42,7.26,0
31/12/20,MIFEL SOFOMER,30.35,359.43,304.98,1004.72,80.38,85.62,6.12,8.27,0
31/12/20,MIZUHO,85.05,2752.09,2731.78,3212,256.96,80.09,1.73,18.18,0
31/12/20,MONEX,14.76,7424.34,6890.61,46682.14,3734.57,69.21,12.61,18.19,0
31/12/20,MUFG,32,5819.56,5673.6,17731.55,1418.52,80.29,3.89,15.81,0
31/12/20,MULTIVA,15.64,6644.73,6254.47,39987.49,3199,81.03,6.52,12.45,0
31/12/20,OPCIPRES,1422.29,229.99,229.99,16.17,1.29,96.53,3.47,0,0
31/12/20,PAGATODO,298.04,261.48,234.49,78.68,6.29,53.46,0.65,45.89,0
31/12/20,S CONSUMO,27.93,23478.57,23544.89,84297.3,6743.78,88.1,6.96,4.94,0
31/12/20,SABADELL,14.2,10263.2,9086.29,63986.96,5118.96,93.73,1.42,4.85,0
31/12/20,SABCAPITAL,15.11,4849.22,4557.66,30163.51,2413.08,91.69,1.22,7.09,0
31/12/20,SANTANDER,19.01,121575.54,151457.91,796836.41,63746.91,67.79,24.16,8.05,0
31/12/20,SANTANDER INCLUSIÓN FINANCIERA,16.67,107.49,107.49,644.77,51.58,64.41,7.24,28.35,0
31/12/20,SCOTIABANK,13.91,49776.04,56238.47,404188.13,32335.05,87.3,8.09,4.61,0
31/12/20,SHINHAN,44,1494.08,1451.72,3299.29,263.94,89.36,3.01,7.64,0
31/12/20,SOFOM AYUDAMOS,34.9,111.18,111.18,318.55,25.48,0.07,0.09,99.85,0
31/12/20,SOFOM BAJÍO,19.58,2128.33,2079.83,10619.83,849.59,85.92,5.25,8.83,0
31/12/20,SOFOM BANAMEX,13.96,13058.92,13592.3,97334.72,7786.78,94.29,0.3,5.41,0
31/12/20,SOFOM INBURSA,24.2,18295.87,15283.85,63146.77,5051.74,58.77,13.34,27.9,0
31/12/20,START BANREGIO,16.29,2901.95,2688.5,16501.05,1320.08,95.46,2.87,1.66,0
31/12/20,VE POR MÁS,12.69,4249.72,5046.65,39769.81,3181.58,77.72,13.28,9,0
31/12/20,VW BANK,27.82,1881.3,1881.3,6761.41,540.91,58.54,29.08,12.39,0
